1973	2.1	5.5
1974	2.3	6.0
1975	2.5	4.0
1976	2.7	4.5
1977	2.9	5.0
1978	3.1	5.5
1979	3.3	6.0
1980	1.5	4.0
1981	1.7	4.5
1982	1.9	5.0
1983	2.1	5.5
1984	2.3	6.0
1985	2.5	4.0
1986	2.7	4.5
1987	2.9	5.0
1988	3.1	5.5
1989	3.3	6.0
1990	1.5	4.0
1991	1.7	4.5
1992	1.9	5.0
1993	2.1	5.5
1994	2.3	6.0
1995	2.5	4.0
1996	2.7	4.5
1997	2.9	5.0
1998	3.1	5.5
1999	3.3	6.0
2000	1.5	4.0
2001	1.7	4.5
2002	1.9	5.0
2003	2.1	5.5
2004	2.3	6.0
2005	2.5	4.0
2006	2.7	4.5
2007	2.9	5.0
2008	3.1	5.5
2009	3.3	6.0
2010	1.5	4.0
2011	1.7	4.5
2012	1.9	5.0
2013	2.1	5.5
2014	2.3	6.0
2015	2.5	4.0
2016	2.7	4.5
2017	2.9	5.0
2018	3.1	5.5
2019	3.3	6.0
2020	1.5	4.0
2021	1.7	4.5
2022	1.9	5.0
2023	2.1	5.5
